open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy__quote_volume,ignore,premium_index_open,premium_index_high,premium_index_low,premium_index_close
1686089700000,27067.0,27067.1,27042.8,27049.2,621.833,1686089999999,16822649.519,7681,302.274,8177586.6109,0,-0.00025814,-0.00022345,-0.00044364,-0.00033976
1686090000000,27049.2,27064.8,27035.0,27042.3,617.818,1686090299999,16710930.3151,7145,276.834,7488357.1011,0,-0.00034025,8.138e-05,-0.0005298,-0.00042559
1686090300000,27042.3,27059.5,27035.7,27047.7,635.0,1686090599999,17176667.2153,7801,320.015,8656051.445,0,-0.00017181,-0.00012329,-0.00047487,-0.00024125
1686090600000,27047.7,27117.4,27042.5,27117.4,2121.625,1686090899999,57472803.1609,18912,1346.49,36474745.751,0,-0.00023724,0.00027609,-0.00036256,-0.00010042
1686090900000,27117.3,27117.4,27092.1,27094.4,1114.918,1686091199999,30218426.565,11831,472.642,12810657.827,0,-0.00010321,-9.122e-05,-0.00065304,-0.00055368
1686091200000,27094.3,27113.6,27087.0,27113.6,1238.027,1686091499999,33554557.7415,10242,727.963,19729997.6194,0,-0.00060243,-0.00020609,-0.00065,-0.0003053
1686091500000,27113.5,27116.8,27100.7,27108.2,510.148,1686091799999,13829705.4038,6444,289.713,7854108.8839,0,-5.331e-05,-5.331e-05,-0.00049397,-0.00029882
1686091800000,27108.1,27170.4,27104.3,27149.2,1823.637,1686092099999,49499724.29498,17402,1145.502,31092868.05468,0,-0.00036377,0.00014842,-0.00042589,-0.00015595
1686092100000,27149.2,27184.0,27138.7,27138.7,1919.483,1686092399999,52140839.8624,17815,917.312,24919692.3623,0,-0.00015226,0.00011891,-0.00063369,-0.00054166
1686092400000,27138.8,27178.9,27127.0,27130.0,1295.421,1686092699999,35169497.8387,14524,560.047,15205551.7668,0,-0.00060252,-0.00011557,-0.0006493,-0.00054411
1686092700000,27129.9,27167.2,27105.5,27120.1,1775.237,1686092999999,48162119.9168,15905,786.53,21340548.5388,0,-0.00044024,7.018e-05,-0.00063473,-0.00052204
1686093000000,27120.2,27151.7,27118.8,27128.5,718.478,1686093299999,19496510.2613,8423,339.575,9214320.2682,0,-0.0005365,-0.00011,-0.0005365,-0.00039556
1686093300000,27128.5,27169.0,27128.4,27142.9,1210.489,1686093599999,32860467.6884,10653,694.667,18856370.0083,0,-0.00039556,-8.963e-05,-0.00085695,-0.00033592
1686093600000,27142.9,27216.0,27142.9,27178.2,2603.372,1686093899999,70773169.0121,20149,1667.547,45334481.6096,0,-0.00033589,2.686e-05,-0.00051057,-0.00044684
1686093900000,27178.2,27358.1,27178.2,27285.3,11067.262,1686094199999,301932457.30806,74748,6624.179,180705683.02626,0,-0.00040068,0.00089901,-0.00109356,-0.0003637
1686094200000,27285.3,27292.0,27195.5,27195.5,3377.462,1686094499999,91981275.3179,28610,1360.637,37052762.3996,0,-3.086e-05,-3.086e-05,-0.00067169,-0.00051498
1686094500000,27195.5,27208.4,27133.3,27155.1,4111.58,1686094799999,111694735.97078,30290,1778.791,48326444.6727,0,-0.00055746,-0.00021975,-0.00085557,-0.00036776
1686094800000,27155.2,27194.8,27155.1,27172.0,2165.076,1686095099999,58836027.0069,17975,1183.49,32160852.2315,0,-0.00034341,-5.198e-05,-0.00064086,-0.00044127
1686095100000,27172.0,27196.7,27167.7,27176.7,1256.735,1686095399999,34157767.4729,11747,644.689,17522897.2337,0,-0.00039318,-0.00013076,-0.00064214,-0.00045522
1686095400000,27176.7,27216.0,27176.7,27192.0,1683.756,1686095699999,45792934.2127,14610,821.417,22340389.1259,0,-0.00045506,-0.00017057,-0.00082419,-0.00033814
1686095700000,27191.9,27241.0,27188.2,27221.5,1609.603,1686095999999,43814462.2849,16317,820.244,22327521.3689,0,-0.00033792,-0.0001011,-0.00064109,-0.00037066
1686096000000,27221.5,27238.7,27162.3,27184.4,3246.623,1686096299999,88288210.3498,23624,1114.194,30298476.1641,0,-0.00029858,-0.00010728,-0.00090573,-0.00055764
1686096300000,27184.4,27276.3,27182.5,27240.9,3418.822,1686096599999,93141333.946,26598,1997.625,54419452.8236,0,-0.00054378,-8.441e-05,-0.00061241,-0.00030314
1686096600000,27240.8,27246.1,27189.4,27221.4,1655.102,1686096899999,45043599.9759,17227,765.746,20840143.7711,0,-0.00029553,0.0,-0.0006368,-0.00044834
1686096900000,27221.3,27232.4,27152.5,27159.1,1887.133,1686097199999,51304172.8062,18451,740.323,20127714.8367,0,-0.00044395,-0.00017911,-0.00067413,-0.00064681
1686097200000,27159.1,27216.0,27155.6,27206.3,1524.982,1686097499999,41459839.5092,15431,906.152,24634805.4236,0,-0.00052217,-4.356e-05,-0.00052217,-0.0003304
1686097500000,27206.3,27241.0,27190.5,27196.3,1263.903,1686097799999,34397424.1177,13384,673.223,18323676.2027,0,-0.00034705,-4.299e-05,-0.00058884,-0.00041812
1686097800000,27196.3,27206.6,27183.3,27205.5,876.039,1686098099999,23823828.3947,9791,462.664,12582656.1688,0,-0.00048306,-0.00010048,-0.00048306,-0.00022468
1686098100000,27205.5,27280.8,27205.4,27235.8,2434.461,1686098399999,66328887.9045,22684,1331.137,36269227.7812,0,-0.00022696,0.0001549,-0.00058284,-0.00041368
1686098400000,27235.9,27319.5,27235.8,27307.6,2613.389,1686098699999,71307468.3714,25558,1679.268,45821949.5036,0,-0.00041091,6.795e-05,-0.00043432,-0.0002212
1686098700000,27307.6,27394.4,27230.6,27231.7,6851.49,1686098999999,187188567.93166,50562,3560.769,97320182.46656,0,-2.374e-05,0.00060379,-0.00067721,-0.00027337
1686099000000,27231.7,27237.8,27187.2,27208.3,1944.607,1686099299999,52911500.3836,18366,982.226,26724589.0459,0,-0.00041362,-0.00012736,-0.0005761,-0.00029908
1686099300000,27208.3,27214.4,27168.1,27170.2,2904.361,1686099599999,78959665.26678,20594,1116.402,30352435.2467,0,-0.00037078,0.00024486,-0.00063237,-0.00040052
1686099600000,27170.2,27212.9,27147.1,27160.0,3461.392,1686099899999,94093635.278,25070,1894.734,51512739.7579,0,-0.00044238,0.00020747,-0.00056987,-0.00027428
1686099900000,27160.0,27179.1,27128.1,27136.3,1904.272,1686100199999,51708563.6846,18044,845.101,22949413.1362,0,-0.00029423,-8.9e-06,-0.00064158,-0.0002668
1686100200000,27136.2,27164.1,27101.6,27120.1,2849.024,1686100499999,77304267.5491,24491,1523.549,41342203.0361,0,-0.00031052,4.161e-05,-0.0004162,4.161e-05
1686100500000,27120.0,27154.6,27101.5,27112.1,1956.159,1686100799999,53072884.5699,19097,997.382,27061477.2666,0,-0.00012743,0.00025828,-0.00035198,-0.00016672
1686100800000,27112.1,27126.2,27054.0,27070.8,3860.131,1686101099999,104553276.3447,30983,1654.036,44802614.5301,0,-0.00017544,0.00019926,-0.00046811,-0.00029071
1686101100000,27070.8,27104.4,27064.2,27098.0,1952.325,1686101399999,52877996.3513,18045,1135.781,30763513.7539,0,-0.00015889,0.00011299,-0.00043058,-0.00012421
1686101400000,27098.0,27105.3,27069.3,27086.3,1299.308,1686101699999,35195888.8813,12748,738.411,20002456.1777,0,-0.00021939,0.00010385,-0.00034019,-0.00010592
1686101700000,27086.3,27104.8,27057.1,27088.2,1458.745,1686101999999,39502755.8602,15771,795.169,21535069.611,0,0.00013975,0.00042238,-0.00038936,-0.00013627
