open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1682665560000,22.465,22.466,22.426,22.464,30453,1682665739999,683630.919,1304,13376,300283.202,0
1682665740000,22.465,22.493,22.459,22.478,43093,1682665919999,968548.361,1442,23216,521814.867,0
1682665920000,22.478,22.574,22.47,22.545,99123,1682666099999,2232064.171,3345,60492,1362388.81,0
1682666100000,22.546,22.564,22.493,22.497,85543,1682666279999,1927746.102,2875,43323,976415.888,0
1682666280000,22.496,22.506,22.47,22.489,33819,1682666459999,760682.943,1399,15623,351426.185,0
1682666460000,22.488,22.491,22.466,22.47,25451,1682666639999,572074.601,1122,12551,282114.745,0
1682666640000,22.469,22.491,22.437,22.446,30599,1682666819999,687421.298,1321,14424,324103.774,0
1682666820000,22.445,22.48,22.445,22.471,21098,1682666999999,473956.797,806,12667,284549.911,0
1682667000000,22.471,22.512,22.47,22.491,33919,1682667179999,763068.797,1119,18215,409735.655,0
1682667180000,22.491,22.517,22.476,22.501,28707,1682667359999,645908.356,1104,12113,272566.401,0
1682667360000,22.501,22.531,22.49,22.531,32956,1682667539999,742072.169,1193,19049,428934.269,0
1682667540000,22.53,22.572,22.526,22.554,43214,1682667719999,974670.689,1721,24336,548868.207,0
1682667720000,22.554,22.66,22.54,22.614,111377,1682667899999,2517246.594,3392,76069,1719540.122,0
1682667900000,22.613,22.619,22.573,22.578,48249,1682668079999,1090063.318,1792,20021,452342.054,0
1682668080000,22.577,22.616,22.563,22.614,38061,1682668259999,859836.898,1567,21831,493223.288,0
1682668260000,22.614,22.616,22.585,22.598,27819,1682668439999,628760.289,1227,15158,342616.157,0
1682668440000,22.597,22.618,22.564,22.576,28620,1682668619999,646536.433,1217,12909,291635.046,0
1682668620000,22.575,22.612,22.57,22.601,41720,1682668799999,942382.987,1504,20793,469735.212,0
1682668800000,22.601,22.615,22.56,22.564,47930,1682668979999,1082568.65,1812,17744,400736.133,0
1682668980000,22.564,22.576,22.529,22.557,55605,1682669159999,1254373.672,2172,25774,581454.726,0
1682669160000,22.558,22.576,22.544,22.552,24847,1682669339999,560550.407,997,11306,255073.27,0
1682669340000,22.553,22.553,22.524,22.528,33837,1682669519999,762475.158,1359,15261,343892.902,0
1682669520000,22.529,22.551,22.528,22.546,22614,1682669699999,509704.236,1021,12651,285152.259,0
1682669700000,22.544,22.594,22.512,22.542,69811,1682669879999,1574583.899,2051,39790,897476.614,0
1682669880000,22.541,22.549,22.512,22.518,31702,1682670059999,714285.669,1300,12347,278176.11,0
1682670060000,22.517,22.534,22.503,22.516,27577,1682670239999,621005.84,1124,11278,253980.182,0
1682670240000,22.515,22.522,22.481,22.503,42822,1682670419999,963522.714,1537,18023,405546.721,0
1682670420000,22.502,22.52,22.477,22.494,25863,1682670599999,581774.355,1058,12401,278944.72,0
1682670600000,22.493,22.545,22.434,22.535,82485,1682670779999,1854802.33,2988,46334,1042162.033,0
1682670780000,22.539,22.545,22.497,22.51,32175,1682670959999,724501.897,1227,13760,309851.555,0
1682670960000,22.511,22.513,22.451,22.483,54202,1682671139999,1217974.552,1864,23217,521707.188,0
1682671140000,22.484,22.486,22.386,22.41,80842,1682671319999,1812908.323,2739,32768,734962.02,0
1682671320000,22.41,22.412,22.327,22.35,128499,1682671499999,2874162.229,4606,59002,1319807.681,0
1682671500000,22.353,22.435,22.327,22.399,75081,1682671679999,1681989.656,2727,40508,907450.194,0
1682671680000,22.397,22.428,22.394,22.407,38722,1682671859999,867804.893,1514,22960,514558.064,0
1682671860000,22.407,22.407,22.359,22.366,39863,1682672039999,892235.105,1641,15535,347671.351,0
1682672040000,22.367,22.385,22.346,22.381,24693,1682672219999,552282.476,1100,10420,233066.051,0
1682672220000,22.38,22.42,22.38,22.393,30064,1682672399999,673502.278,1209,19687,441026.325,0
1682672400000,22.393,22.477,22.393,22.456,47833,1682672579999,1073559.256,1987,28597,641832.368,0
1682672580000,22.456,22.457,22.407,22.413,30809,1682672759999,691142.052,1219,11594,260095.553,0
1682672760000,22.414,22.424,22.397,22.406,29637,1682672939999,664134.328,1008,14897,333833.873,0
1682672940000,22.406,22.437,22.361,22.429,53481,1682673119999,1197926.476,1948,29367,657719.475,0
1682673120000,22.427,22.46,22.416,22.435,33686,1682673299999,755854.341,1321,15795,354436.7,0
1682673300000,22.436,22.484,22.425,22.483,33641,1682673479999,755490.513,1269,18668,419279.088,0
1682673480000,22.483,22.516,22.467,22.489,47779,1682673659999,1074843.942,1738,25661,577306.74,0
1682673660000,22.49,22.505,22.48,22.504,31209,1682673839999,701973.061,1116,16633,374104.522,0
1682673840000,22.504,22.519,22.478,22.486,24585,1682674019999,553126.76,980,12204,274586.444,0
1682674020000,22.487,22.487,22.432,22.44,38243,1682674199999,858695.066,1487,15479,347527.931,0
1682674200000,22.44,22.457,22.426,22.44,37039,1682674379999,831067.532,1440,19276,432534.849,0
1682674380000,22.44,22.472,22.437,22.46,15314,1682674559999,343850.826,717,10197,228941.5,0
1682674560000,22.461,22.496,22.436,22.436,25773,1682674739999,579226.726,976,12650,284308.528,0
1682674740000,22.435,22.446,22.403,22.445,41375,1682674919999,927737.658,1543,21292,477477.414,0
1682674920000,22.446,22.459,22.427,22.447,17328,1682675099999,388860.669,705,8286,185949.965,0
1682675100000,22.446,22.449,22.391,22.423,28074,1682675279999,629245.678,1023,14720,329936.35,0
